candidateId, stateId, hasChief, percentageStatePopulation,  wonState, percentageStateVotes, credibility, stubbornness, won, percentageVotes, changedBelief, sameBelief, nChiefs, percentageCandidatePopulation
candidate_0, Alaska, false, 25, true, 44, 81, 14, true, 52, unknown, false, 3, 55,
candidate_0, California, true, 19, true, 71, 81, 14, true, 52, false, false, 3, 55,
candidate_0, Florida, true, 16, true, 66, 81, 14, true, 52, true, false, 3, 55,
candidate_0, Hawaii, false, 19, true, 42, 81, 14, true, 52, unknown, false, 3, 55,
candidate_0, Kansas, true, 19, false, 42, 81, 14, true, 52, false, false, 3, 55,
candidate_1, Alaska, true, 25, false, 44, 86, 97, false, 52, true, false, 2, 44,
candidate_1, California, false, 19, false, 28, 86, 97, false, 52, unknown, false, 2, 44,
candidate_1, Florida, false, 16, false, 33, 86, 97, false, 52, unknown, true, 2, 44,
candidate_1, Hawaii, true, 19, false, 42, 86, 97, false, 52, false, false, 2, 44,
candidate_1, Kansas, false, 19, false, 14, 86, 97, false, 52, unknown, true, 2, 44,
candidate_0, Alaska, true, 20, true, 42, 92, 74, true, 40, false, true, 3, 51,
candidate_0, California, true, 14, false, 40, 92, 74, true, 40, true, false, 3, 51,
candidate_0, Florida, false, 25, false, 22, 92, 74, true, 40, unknown, false, 3, 51,
candidate_0, Hawaii, true, 17, true, 66, 92, 74, true, 40, true, false, 3, 51,
candidate_0, Kansas, false, 22, false, 37, 92, 74, true, 40, unknown, true, 3, 51,
candidate_1, Alaska, false, 20, false, 28, 64, 62, false, 40, unknown, false, 2, 48,
candidate_1, California, false, 14, false, 20, 64, 62, false, 40, unknown, true, 2, 48,
candidate_1, Florida, true, 25, false, 22, 64, 62, false, 40, true, true, 2, 48,
candidate_1, Hawaii, false, 17, false, 33, 64, 62, false, 40, unknown, false, 2, 48,
candidate_1, Kansas, true, 22, false, 25, 64, 62, false, 40, true, false, 2, 48,
candidate_0, Alaska, false, 18, false, 33, 84, 4, false, 45, unknown, true, 3, 63,
candidate_0, California, true, 15, false, 0, 84, 4, false, 45, true, true, 3, 63,
candidate_0, Florida, true, 18, true, 50, 84, 4, false, 45, true, false, 3, 63,
candidate_0, Hawaii, false, 18, true, 50, 84, 4, false, 45, unknown, true, 3, 63,
candidate_0, Kansas, true, 30, false, 40, 84, 4, false, 45, false, true, 3, 63,
candidate_1, Alaska, true, 18, true, 50, 72, 44, true, 45, true, false, 2, 36,
candidate_1, California, false, 15, true, 60, 72, 44, true, 45, unknown, false, 2, 36,
candidate_1, Florida, false, 18, false, 16, 72, 44, true, 45, unknown, false, 2, 36,
candidate_1, Hawaii, true, 18, false, 50, 72, 44, true, 45, false, false, 2, 36,
candidate_1, Kansas, false, 30, true, 50, 72, 44, true, 45, unknown, false, 2, 36,
candidate_0, Alaska, true, 27, true, 60, 82, 18, true, 44, false, true, 4, 75,
candidate_0, California, true, 13, false, 20, 82, 18, true, 44, true, true, 4, 75,
candidate_0, Florida, true, 13, true, 60, 82, 18, true, 44, false, false, 4, 75,
candidate_0, Hawaii, true, 19, true, 57, 82, 18, true, 44, false, false, 4, 75,
candidate_0, Kansas, false, 25, false, 22, 82, 18, true, 44, unknown, false, 4, 75,
candidate_1, Alaska, false, 27, false, 40, 85, 22, false, 44, unknown, false, 1, 25,
candidate_1, California, false, 13, true, 60, 85, 22, false, 44, unknown, false, 1, 25,
candidate_1, Florida, false, 13, false, 20, 85, 22, false, 44, unknown, false, 1, 25,
candidate_1, Hawaii, false, 19, false, 28, 85, 22, false, 44, unknown, false, 1, 25,
candidate_1, Kansas, true, 25, true, 66, 85, 22, false, 44, true, false, 1, 25,
candidate_0, Alaska, true, 14, false, 33, 93, 55, true, 60, true, false, 4, 75,
candidate_0, California, false, 24, true, 80, 93, 55, true, 60, unknown, false, 4, 75,
candidate_0, Florida, true, 24, true, 50, 93, 55, true, 60, true, false, 4, 75,
candidate_0, Hawaii, true, 12, true, 80, 93, 55, true, 60, true, false, 4, 75,
candidate_0, Kansas, true, 24, true, 60, 93, 55, true, 60, false, false, 4, 75,
candidate_1, Alaska, false, 14, true, 50, 93, 91, false, 60, unknown, false, 1, 24,
candidate_1, California, true, 24, false, 10, 93, 91, false, 60, false, false, 1, 24,
candidate_1, Florida, false, 24, false, 30, 93, 91, false, 60, unknown, false, 1, 24,
candidate_1, Hawaii, false, 12, false, 20, 93, 91, false, 60, unknown, true, 1, 24,
candidate_1, Kansas, false, 24, false, 30, 93, 91, false, 60, unknown, false, 1, 24,
candidate_0, Alaska, true, 21, false, 33, 90, 99, false, 47, false, false, 5, 100,
candidate_0, California, true, 16, false, 14, 90, 99, false, 47, false, false, 5, 100,
candidate_0, Florida, true, 14, false, 33, 90, 99, false, 47, true, true, 5, 100,
candidate_0, Hawaii, true, 23, true, 40, 90, 99, false, 47, false, true, 5, 100,
candidate_0, Kansas, true, 23, false, 10, 90, 99, false, 47, false, false, 5, 100,
candidate_1, Alaska, false, 21, false, 22, 84, 23, true, 47, unknown, false, 0, 0,
candidate_1, California, false, 16, false, 28, 84, 23, true, 47, unknown, true, 0, 0,
candidate_1, Florida, false, 14, true, 66, 84, 23, true, 47, unknown, false, 0, 0,
candidate_1, Hawaii, false, 23, false, 40, 84, 23, true, 47, unknown, false, 0, 0,
candidate_1, Kansas, false, 23, true, 80, 84, 23, true, 47, unknown, false, 0, 0,
candidate_0, Alaska, true, 15, true, 60, 83, 95, false, 59, true, true, 2, 37,
candidate_0, California, false, 31, true, 40, 83, 95, false, 59, unknown, false, 2, 37,
candidate_0, Florida, false, 15, false, 40, 83, 95, false, 59, unknown, true, 2, 37,
candidate_0, Hawaii, true, 21, false, 14, 83, 95, false, 59, false, false, 2, 37,
candidate_0, Kansas, false, 15, false, 20, 83, 95, false, 59, unknown, false, 2, 37,
candidate_1, Alaska, false, 15, false, 40, 80, 76, true, 59, unknown, false, 3, 62,
candidate_1, California, true, 31, false, 40, 80, 76, true, 59, true, true, 3, 62,
candidate_1, Florida, true, 15, true, 60, 80, 76, true, 59, true, false, 3, 62,
candidate_1, Hawaii, false, 21, true, 85, 80, 76, true, 59, unknown, true, 3, 62,
candidate_1, Kansas, true, 15, true, 80, 80, 76, true, 59, true, false, 3, 62,
candidate_0, Alaska, false, 26, true, 55, 97, 87, true, 50, unknown, false, 3, 55,
candidate_0, California, true, 17, false, 33, 97, 87, true, 50, false, false, 3, 55,
candidate_0, Florida, true, 17, true, 66, 97, 87, true, 50, true, false, 3, 55,
candidate_0, Hawaii, false, 17, true, 66, 97, 87, true, 50, unknown, false, 3, 55,
candidate_0, Kansas, true, 20, false, 28, 97, 87, true, 50, false, false, 3, 55,
candidate_1, Alaska, true, 26, false, 44, 70, 72, false, 50, true, false, 2, 44,
candidate_1, California, false, 17, false, 16, 70, 72, false, 50, unknown, false, 2, 44,
candidate_1, Florida, false, 17, false, 16, 70, 72, false, 50, unknown, false, 2, 44,
candidate_1, Hawaii, true, 17, false, 33, 70, 72, false, 50, true, false, 2, 44,
candidate_1, Kansas, false, 20, true, 57, 70, 72, false, 50, unknown, true, 2, 44,
candidate_0, Alaska, true, 23, false, 12, 78, 17, false, 41, true, false, 2, 38,
candidate_0, California, false, 23, true, 50, 78, 17, false, 41, unknown, false, 2, 38,
candidate_0, Florida, false, 23, false, 37, 78, 17, false, 41, unknown, false, 2, 38,
candidate_0, Hawaii, true, 14, true, 60, 78, 17, false, 41, false, true, 2, 38,
candidate_0, Kansas, false, 14, true, 40, 78, 17, false, 41, unknown, false, 2, 38,
candidate_1, Alaska, false, 23, true, 75, 89, 91, true, 41, unknown, false, 3, 61,
candidate_1, California, true, 23, false, 12, 89, 91, true, 41, false, false, 3, 61,
candidate_1, Florida, true, 23, true, 50, 89, 91, true, 41, false, false, 3, 61,
